#{"t_start": 1710685570.0406547, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-25456.999977,5000,20.559949
-54039.853162,5000,42.170732
-67893.208835,5000,62.582358
-5842.211037,5000,83.397033
-54636.268746,5000,105.965892
-43362.881302,5000,126.648205
-41032.307698,5000,149.018063
-44062.780892,5000,171.053735
-17206.708696,5000,192.239185
-56511.007673,5000,214.996286
-25383.925393,5000,238.534448
-8619.97403,5000,264.498062
-14709.491948,5000,286.481828
-36990.468121,5000,311.1184
-30232.625058,5000,330.873528
-49479.540604,5000,354.896397
-53935.764082,5000,373.826681
-19212.94179,5000,396.834962
-33531.620623,5000,421.146431
-15551.824381,5000,442.84085
9999.516778,1,445.959253
-44799.368397,5000,457.635351
-13469.83952,5000,469.993909
9999.595991,1,470.041068
-31972.815503,5000,480.69299
-30184.099888,5000,491.294567
-34609.174018,5000,502.459805
-52038.173261,5000,514.282707
-7230.305427,5000,525.78276
-23586.799877,5000,536.660638
