#{"t_start": 1710696305.536916, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-23521.87898,5000,20.870944
-69848.969453,5000,40.87488
-16401.212209,5000,63.875927
-49441.348452,5000,84.844627
-48086.822214,5000,108.107507
-35174.331134,5000,127.776355
-56141.009305,5000,150.917839
-95725.062683,5000,171.827268
-61851.388231,5000,192.592415
-17174.994634,5000,214.004889
-48272.105629,5000,234.156501
-91335.030486,5000,257.082712
-6786.440934,5000,277.591665
-31421.943882,5000,301.18508
-86127.491385,5000,322.163492
-26780.581711,5000,346.056589
-29892.010526,5000,367.652201
-53597.216105,5000,388.540015
-54330.313417,5000,411.33916
-30515.545354,5000,432.521227
-70016.324417,5000,446.864325
-41171.318499,5000,458.200238
-8709.053594,5000,469.429806
-60934.090535,5000,481.249729
-62582.831373,5000,493.367768
-95571.461834,5000,505.494665
-24553.230054,5000,516.516957
-59515.543401,5000,528.013538
-76875.01765,5000,539.981829
-66301.132374,5000,551.369297
