#{"t_start": 1710686663.1103575, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-75509.993927,5000,22.68771
-67726.853145,5000,41.153726
-64116.002472,5000,64.536696
-64928.088235,5000,86.593428
-70297.755915,5000,108.160266
-34487.409326,5000,127.205728
-62883.633862,5000,149.484938
-61801.308714,5000,168.663014
-19974.603119,5000,187.665481
-21934.806104,5000,215.875784
-43085.065765,5000,238.547796
-24667.785258,5000,261.815722
-32780.043823,5000,285.03958
-24510.470513,5000,306.190295
-57071.210124,5000,328.848525
-21943.10598,5000,354.846166
-74017.377039,5000,375.905612
-73885.571059,5000,400.25736
-60438.246449,5000,426.297783
-8237.928888,5000,449.818698
-35298.184492,5000,463.952102
-20808.66473,5000,475.543747
-15507.255982,5000,487.672693
-15731.690205,5000,499.419557
-48352.221453,5000,511.014874
-31689.131742,5000,522.391916
-40330.586677,5000,534.764037
-17041.099683,5000,546.708575
-31981.078795,5000,559.099791
-55255.146667,5000,570.916139
