#{"t_start": 1710683609.341506, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-65266.721057,5000,22.144475
-59978.34479,5000,43.869593
-31130.251669,5000,66.960712
-36450.904353,5000,89.13379
-62521.688314,5000,115.486408
-6496.609171,5000,140.558516
-64909.706713,5000,167.349346
-23980.273958,5000,189.759066
-64148.908327,5000,214.938677
-18263.514136,5000,240.503312
-53319.677611,5000,264.694383
-53916.373369,5000,290.467278
-69814.003705,5000,314.205054
-45611.723724,5000,339.403629
-67557.549857,5000,362.483944
-22648.37938,5000,385.604629
-66280.462569,5000,408.957635
-33171.459653,5000,433.639572
-39974.893372,5000,458.123644
-17835.679236,5000,481.38798
-27340.343533,5000,495.555472
-22951.74308,5000,506.862978
-24057.078168,5000,518.449501
-53724.008207,5000,530.677108
-4982.031775,5000,542.898454
-55988.658171,5000,553.874039
-6631.3437,5000,566.285473
-46134.290663,5000,578.667752
-45577.220087,5000,590.321707
-54861.908029,5000,601.420216
