#{"t_start": 1710690515.6150186, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-33925.758298,5000,20.839842
-29142.923093,5000,41.154393
-71526.71859,5000,62.662863
-9927.901357,5000,84.184951
-50630.287568,5000,107.489989
-53933.92131,5000,128.248325
-7625.602741,5000,151.109174
-57319.128439,5000,171.972998
-19610.878906,5000,193.173042
-79184.591902,5000,214.997377
-39245.855217,5000,236.24996
-35670.950407,5000,258.773934
-9354.74331,5000,280.461168
-91641.883942,5000,303.780971
-35905.513041,5000,323.62418
-68662.186747,5000,346.319354
-74153.101041,5000,367.38298
-18494.888936,5000,388.182849
-39027.932558,5000,410.534354
-53611.721706,5000,430.604068
-68906.107916,5000,445.039156
-23853.036347,5000,456.683857
-8668.721906,5000,468.404248
9999.734792,1,468.446156
-13609.460034,5000,479.26735
-36841.750018,5000,490.387529
-29074.02324,5000,501.890529
-39874.078992,5000,511.006091
-39039.655157,5000,522.409232
-68021.205783,5000,533.905688
