#{"t_start": 1710682361.4262357, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-27574.931304,5000,25.609518
-22857.074781,5000,50.66968
-69719.98738,5000,79.296061
-73329.803402,5000,105.280138
-68921.657846,5000,137.991265
-73651.766466,5000,162.882154
-18233.78254,5000,193.348804
-41440.608997,5000,218.565002
-39994.909475,5000,244.327841
-12839.291269,5000,274.46328
-72669.421235,5000,302.040018
-22529.92769,5000,331.023278
-32274.893836,5000,356.901688
-50243.990209,5000,385.740983
-26553.846371,5000,411.478782
-16761.689434,5000,442.432494
-69173.448145,5000,467.799333
-17319.121283,5000,491.640591
-69004.31539,5000,524.646542
-9429.720727,5000,553.240566
-50995.551717,5000,572.095769
-55370.075771,5000,583.896277
-61302.401612,5000,596.103773
-63069.683226,5000,607.88211
-53075.597984,5000,619.849615
-41788.333669,5000,631.449319
-38133.322842,5000,643.261341
-11477.443454,5000,655.34622
-16896.04333,5000,666.900444
-52114.905262,5000,678.353091
