#{"t_start": 1710684210.9906695, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-84891.02238,5000,29.295386
-41981.843137,5000,56.524491
-79519.554354,5000,86.270794
-14534.952574,5000,112.074116
-53117.938226,5000,143.049941
-59126.636195,5000,167.913535
-43693.369554,5000,200.096209
-8943.097762,5000,225.229702
-48472.280271,5000,251.263915
-80457.184773,5000,282.322752
-56229.581526,5000,307.495736
-16355.870709,5000,338.435089
-42413.440994,5000,364.59474
-32356.034082,5000,395.487632
-13767.808869,5000,421.646622
-11757.444952,5000,449.132969
-52413.857873,5000,475.803859
-30361.812106,5000,503.291389
-48707.456901,5000,534.088895
-24647.811142,5000,557.837046
-6422.336983,5000,574.311687
-82378.678218,5000,585.595498
-13954.668779,5000,596.680977
-43887.911482,5000,608.530415
-21597.736849,5000,620.877864
-74998.295211,5000,632.624817
-17758.415046,5000,644.602905
-24814.212482,5000,655.510208
-14455.041716,5000,667.223629
-23371.181098,5000,679.188394
