#{"t_start": 1710689411.0193582, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-39522.031556,5000,21.22968
-39725.30046,5000,42.501898
-5721.664213,5000,65.323948
-50874.232474,5000,85.137874
-41201.131892,5000,107.817279
-56761.13286,5000,128.786991
-50391.735924,5000,151.623353
-40204.98945,5000,173.114602
-45586.452649,5000,194.466716
-67259.098554,5000,216.957247
-28326.168332,5000,237.68311
-18334.485183,5000,259.892017
-19652.211019,5000,281.403654
-26537.301654,5000,303.810147
-46180.527837,5000,324.368614
-45558.60318,5000,347.100481
-47268.51226,5000,368.403792
-14839.147749,5000,389.463382
-20487.958303,5000,411.949331
-67071.030573,5000,432.28105
-40228.469813,5000,447.261593
-29692.348625,5000,458.317428
-15880.537687,5000,470.360812
-39913.134367,5000,482.45476
-52861.279994,5000,494.435563
-25451.490038,5000,505.722244
-15466.848759,5000,517.521305
-64544.094093,5000,529.725823
-33734.218733,5000,542.06935
-54759.982952,5000,554.712066
