#{"t_start": 1710689965.9951406, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-128670.616489,5000,21.634374
-67428.73436,5000,42.188062
-73981.99931,5000,64.929523
-89992.264706,5000,85.579154
-31175.189307,5000,108.030331
-67979.143948,5000,128.182243
-62134.043215,5000,150.351765
-92738.988966,5000,171.425471
-65813.520912,5000,192.456258
-117407.475726,5000,215.718377
-107208.828937,5000,237.448171
-67853.782678,5000,260.208721
-78681.481894,5000,281.520068
-106515.464439,5000,305.078354
-127230.899306,5000,326.0792
-35646.306335,5000,349.023499
-116562.966228,5000,369.024316
-82673.38696,5000,389.068919
-114657.112732,5000,411.984
-118524.50881,5000,432.644995
-50467.316068,5000,447.590975
-85348.300272,5000,459.631368
-132357.59102,5000,470.77414
-28381.234958,5000,482.442611
-106710.722792,5000,493.723104
-95156.405769,5000,505.212707
-106566.82037,5000,516.26082
-114633.759494,5000,527.92286
-33855.640456,5000,538.471751
-53654.082554,5000,549.346626
