#{"t_start": 1710687234.2642326, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-33828.047046,5000,27.902503
-31575.186464,5000,54.394982
-50476.774987,5000,85.878959
-76630.245439,5000,112.588242
-9558.211047,5000,143.05168
-26320.366353,5000,171.6882
-22177.841042,5000,201.3153
-62675.134573,5000,224.331549
-25173.213581,5000,246.211432
-75960.663498,5000,274.529783
-10472.428818,5000,298.127737
-51148.581725,5000,325.400854
-10797.794643,5000,348.76997
-57918.7555,5000,376.345462
-72050.008842,5000,399.458051
-96228.62082,5000,427.263823
-11992.242406,5000,453.269863
-53908.021341,5000,476.907797
-52445.790434,5000,505.623522
-14869.926231,5000,529.09497
-21454.609483,5000,543.62867
-27060.878702,5000,554.449841
-56140.278808,5000,564.154028
-19577.503682,5000,574.59299
-23179.29731,5000,584.273929
-21178.911106,5000,595.643182
-81842.710759,5000,605.762729
-33237.837896,5000,616.08804
-80044.596184,5000,626.055168
-54390.806149,5000,635.884029
