#{"t_start": 1710691049.7681446, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-15642.81312,5000,16.59276
-22448.680376,5000,35.413693
-75427.119819,5000,53.992857
-66123.612467,5000,74.248146
-41312.289969,5000,95.840977
-43859.261014,5000,113.687315
-48410.451784,5000,132.331059
-24242.763482,5000,148.717121
-38127.517358,5000,166.067845
-45851.927727,5000,184.759787
-53171.790144,5000,203.10255
-9512.592827,5000,220.079168
-12934.687576,5000,237.084606
-21621.420536,5000,254.325679
-27299.596808,5000,271.866323
-27225.299728,5000,289.249769
-34824.888901,5000,306.520969
-18043.800012,5000,326.579532
-76309.3444,5000,345.23824
-55263.571637,5000,363.605654
-8004.126751,5000,375.690765
-52634.774983,5000,387.062624
-66812.342953,5000,398.167302
-31497.936103,5000,408.948018
-37143.770943,5000,420.623039
-17734.567609,5000,432.490633
-34276.011842,5000,443.783172
-15198.603138,5000,455.461212
-49442.822899,5000,467.348607
-66158.310443,5000,479.193226
