#{"t_start": 1710694746.9706438, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-60268.10377,5000,20.939159
-64970.625172,5000,40.381708
-34249.303615,5000,62.717474
-13617.290426,5000,81.516373
-31911.575409,5000,105.698603
-36861.296048,5000,126.146416
-15364.258208,5000,149.410112
-25630.382928,5000,168.268894
-23918.991354,5000,188.055844
-87361.115257,5000,210.972297
-67994.140876,5000,231.465131
-31413.428695,5000,252.970121
-74668.598831,5000,272.029107
-23624.062102,5000,291.856301
-57227.027882,5000,310.804106
-30209.049742,5000,331.103944
-44373.094048,5000,350.372915
-36092.30524,5000,369.787786
-51694.779873,5000,390.762037
-66966.784389,5000,412.471133
-66450.331918,5000,426.720419
-65699.558539,5000,437.133839
-53534.296108,5000,448.482219
-80077.303077,5000,459.345811
-29048.829376,5000,470.242892
-34306.182445,5000,480.501905
-39193.683639,5000,492.061278
-17765.244338,5000,502.4756
-49516.34302,5000,512.494335
-75390.873756,5000,523.70978
