#{"t_start": 1710687870.4040174, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-23410.610622,5000,16.375047
-10846.743155,5000,31.644744
-44372.286044,5000,48.173556
-62909.672667,5000,62.641207
-35749.601008,5000,79.238362
-4931.261906,5000,97.821749
-38147.725291,5000,113.510922
-28007.098064,5000,129.065652
-41450.620095,5000,143.789901
-39675.822099,5000,160.833138
-41722.064193,5000,175.023262
-53484.398952,5000,191.727139
-37327.087355,5000,206.689785
-27987.064705,5000,221.396498
-75685.705691,5000,236.520654
-12346.912464,5000,251.590228
-21080.8433,5000,266.269741
-56629.790976,5000,282.063068
-57024.277314,5000,298.087861
-8058.293582,5000,313.937766
-13874.1644,5000,326.637395
-35749.245258,5000,336.804694
-14858.887898,5000,348.418166
-43010.348265,5000,358.5594
-27269.985338,5000,370.429224
-27686.067727,5000,381.832136
-47115.073788,5000,392.87703
-49118.389167,5000,403.565436
-29697.952456,5000,415.33596
-49318.587701,5000,426.994367
