#{"t_start": 1710683040.0035203, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-53657.703028,5000,21.382109
-29314.222837,5000,43.599806
-44358.158896,5000,67.914982
-56786.968495,5000,89.355245
-17473.945022,5000,114.290392
-15240.776143,5000,134.493583
-65445.627566,5000,157.149648
-52867.234831,5000,180.401113
-73816.520363,5000,200.241035
-11623.075539,5000,223.551764
-21730.864071,5000,244.523496
-35758.314924,5000,268.198802
-43762.805935,5000,290.7621
-33291.372992,5000,316.661376
-37877.025598,5000,339.11266
-61177.000513,5000,362.932033
-39265.539664,5000,383.81391
-65057.889692,5000,406.201227
-11787.269759,5000,429.104996
-28890.042103,5000,449.133855
-75972.195872,5000,463.376052
-55544.160356,5000,475.161319
-12528.873451,5000,486.808465
-79946.625968,5000,498.282334
-30574.71612,5000,510.182764
-77041.515888,5000,521.406173
-42249.952235,5000,533.600548
-40992.840916,5000,545.643778
-65532.78961,5000,556.906168
-62576.732066,5000,569.115893
