#{"t_start": 1710695270.92819, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-34652.461231,5000,17.676216
-60000.031738,5000,36.407125
-45429.747426,5000,56.976806
-58945.538065,5000,76.38561
-13118.848398,5000,96.708197
-89726.521816,5000,114.965919
-80978.959909,5000,136.185732
-50123.582577,5000,154.536196
-73177.302113,5000,172.40885
-27954.387707,5000,195.299818
-23393.908111,5000,215.81095
-25692.663913,5000,239.022539
-34738.43606,5000,260.011396
-28243.994379,5000,282.002808
-41081.498883,5000,302.545291
-37548.085869,5000,321.403025
-15965.12795,5000,340.58522
-26163.071978,5000,358.269557
-92513.081514,5000,377.962178
-60960.870972,5000,394.801857
-72157.350917,5000,407.573294
-61454.204537,5000,417.496682
-47178.170299,5000,427.333337
-21667.477037,5000,437.447709
-78104.926826,5000,447.464467
-13027.033817,5000,457.513871
-55585.869844,5000,469.850813
-50977.597341,5000,481.735701
-54149.910981,5000,494.066789
-14928.401332,5000,505.60075
