#{"t_start": 1710693656.675858, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-86845.740625,5000,19.584659
-70523.26749,5000,40.678218
-96003.298838,5000,63.286452
-50032.031719,5000,85.392179
-29631.251069,5000,106.878267
-76446.84933,5000,127.960466
-67093.114131,5000,153.552385
-21742.889421,5000,175.783848
-37933.672641,5000,196.675757
-39052.741078,5000,220.075162
-84848.053591,5000,241.445876
-39949.859974,5000,265.313185
-93383.110298,5000,286.614199
-74013.660034,5000,310.383554
-87345.140611,5000,331.737013
-46326.023272,5000,353.583308
-53466.0005,5000,373.666264
-109220.829906,5000,394.762608
-32117.810862,5000,417.198339
-33147.56108,5000,439.79943
-62285.993292,5000,454.426035
-84294.955178,5000,465.420194
-50473.269255,5000,476.142691
-65413.21713,5000,487.56167
-24679.409178,5000,498.221863
-77402.311764,5000,508.656394
-95672.09645,5000,518.994834
-91098.027788,5000,529.182758
-54083.313332,5000,539.961744
-32069.545909,5000,551.159086
