#{"t_start": 1710688848.894375, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-76872.463329,5000,19.842786
-38051.679007,5000,41.094943
-63153.393872,5000,62.318492
-13672.457706,5000,83.553866
-37529.499915,5000,105.765969
-32391.091976,5000,126.973578
-32627.869187,5000,149.197268
-55942.341147,5000,169.564375
-61619.162348,5000,192.419041
-8683.998226,5000,217.708877
-52889.902969,5000,240.297055
-18902.479071,5000,264.891971
-66262.226385,5000,285.300932
-56798.540608,5000,308.678342
-64690.020127,5000,331.14189
-50719.652554,5000,358.299156
-54811.36164,5000,381.63139
-76747.997726,5000,403.696813
-23721.875493,5000,426.334846
-70076.868751,5000,445.29284
-59148.45038,5000,459.758899
-69830.459355,5000,471.931438
-32080.303178,5000,483.345349
-26003.089402,5000,494.227629
-64000.625414,5000,505.915553
-12211.229413,5000,517.3764
-41356.755927,5000,528.291886
-72574.061291,5000,539.90979
-13257.313988,5000,550.724251
-65714.836167,5000,561.853673
