#{"t_start": 1710688297.6546717, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-41548.263527,5000,23.354847
-58185.377633,5000,46.300739
-15113.086776,5000,71.460561
-53655.663007,5000,92.694219
-40774.657768,5000,115.31061
-19368.837469,5000,136.032705
-87805.085289,5000,159.438148
-54979.907175,5000,177.94645
-93298.895724,5000,198.109292
-76784.126295,5000,221.379029
-12091.113315,5000,242.784934
-26383.891976,5000,265.623801
-28960.515306,5000,287.044837
-44332.590483,5000,308.609797
-67567.245351,5000,328.823544
-45931.14514,5000,351.254395
-73602.125443,5000,370.067843
-59738.244798,5000,390.186314
-69935.932111,5000,413.822509
-66985.642106,5000,435.010008
-21318.111112,5000,448.373117
-47002.991205,5000,458.922388
-44078.667866,5000,471.006662
-77625.243361,5000,482.981955
-44429.028434,5000,492.262479
-20331.825541,5000,502.927414
-28111.907682,5000,514.344326
-77449.046297,5000,526.715626
-32334.22172,5000,538.875087
-35083.584539,5000,550.991352
