#{"t_start": 1710684890.4129536, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-105445.202185,5000,26.556387
-86745.660564,5000,52.702154
-44114.83975,5000,82.900135
-86400.792436,5000,109.219469
-51715.236887,5000,137.878027
-67755.049685,5000,166.292096
-27623.492197,5000,198.429861
-111591.123022,5000,224.999885
-93610.134902,5000,251.128958
-49711.875021,5000,281.282067
-16937.894339,5000,306.582597
-58690.146209,5000,338.312751
-32649.749456,5000,366.136546
-74467.274938,5000,397.490092
-82436.581181,5000,424.616242
-91301.492629,5000,455.768477
-102906.835266,5000,479.657797
-61983.562302,5000,505.646741
-107467.074418,5000,534.532432
-54456.323351,5000,561.790505
-94065.051066,5000,579.617413
-35940.379173,5000,591.814489
-105847.383124,5000,603.398073
-85959.692419,5000,613.369534
-100306.665593,5000,624.300894
-38693.335548,5000,635.353386
-100225.903439,5000,646.81682
-58845.751029,5000,656.896998
-74752.850348,5000,668.507009
-57304.249924,5000,679.389296
