#{"t_start": 1710697400.6365952, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-5788.188566,5000,23.873295
-68157.491508,5000,48.379862
-61555.643372,5000,76.960422
-15520.584498,5000,100.722917
-64079.677678,5000,129.682343
-62763.517865,5000,155.196072
-8203.813341,5000,184.958555
-63533.787501,5000,210.066808
-44099.441765,5000,233.852178
-52403.902277,5000,263.598878
-54801.942186,5000,288.2584
-45654.695516,5000,316.282418
-43278.603511,5000,340.63016
-24920.827249,5000,368.870166
-43695.050956,5000,393.565163
-14987.97899,5000,422.483676
-11671.401911,5000,446.656454
-45179.221927,5000,472.021808
-79596.408897,5000,500.366495
-7725.248731,5000,525.468057
-32200.861206,5000,542.114993
-44104.238249,5000,552.610735
-25649.520285,5000,564.398519
-24962.444236,5000,576.859326
-39863.639929,5000,588.4279
-16075.929657,5000,599.603841
-15217.684022,5000,612.203054
-34644.514436,5000,624.185875
-26176.300573,5000,635.817011
-20665.157999,5000,647.893493
