#{"t_start": 1710686106.934368, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-54798.045215,5000,20.31998
-26956.984591,5000,42.848017
-20832.432565,5000,66.76849
-37544.529285,5000,87.283493
-50361.662599,5000,112.320866
-42053.84558,5000,132.375033
-36149.973371,5000,154.523998
-78857.708557,5000,175.526084
-53891.392016,5000,196.117823
-16607.571458,5000,221.684135
-37415.369606,5000,244.012217
-37938.452104,5000,266.310045
-60853.831871,5000,287.579596
-34477.12874,5000,309.768226
-41282.797615,5000,331.237478
-37635.747948,5000,355.358585
-35023.175161,5000,376.31272
-55150.665305,5000,398.325131
-42895.640037,5000,420.73627
-67357.530339,5000,439.976031
-47564.170572,5000,453.302428
-33278.954903,5000,462.626217
-29801.533993,5000,474.055002
-34694.584966,5000,486.622202
-29501.530293,5000,497.888611
-36518.773388,5000,510.34351
-33068.177135,5000,521.690611
-9557.717266,5000,532.816526
-16541.402757,5000,544.879772
-33520.320149,5000,555.934328
