#{"t_start": 1710698048.8197365, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-56066.649987,5000,25.094513
-80015.633405,5000,49.439929
-49533.057105,5000,78.48853
-60729.74166,5000,102.796876
-39637.915598,5000,131.731458
-94471.531524,5000,157.681748
-81015.322066,5000,185.438661
-19111.017234,5000,208.933006
-65524.925395,5000,232.178397
-20113.600072,5000,256.96051
-68866.05736,5000,282.857863
-74493.703709,5000,311.394505
-12746.346393,5000,337.933537
-70231.363045,5000,368.792136
-50589.866973,5000,392.372367
-71410.043521,5000,420.166104
-61421.491016,5000,445.602133
-30202.16705,5000,470.771772
-78936.787541,5000,499.425888
-26157.803049,5000,525.841798
-20555.682571,5000,542.206311
-58193.214901,5000,554.422471
-10983.631653,5000,566.596256
-70028.274352,5000,577.682606
-10785.426777,5000,588.490829
-66309.518333,5000,598.561865
-36585.92955,5000,609.390391
-86390.318166,5000,618.724695
-24359.654322,5000,629.175395
-6102.235802,5000,639.889487
