#{"t_start": 1710694208.0861259, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-30384.464525,5000,21.058957
-19047.389219,5000,42.256746
-61637.137406,5000,64.500041
-14289.333564,5000,85.057157
-49835.644532,5000,110.028935
-42029.490265,5000,128.838031
-42478.595812,5000,151.357815
-24275.631821,5000,171.071859
-50827.152028,5000,188.962139
-76987.880021,5000,210.821268
-31833.227935,5000,230.738946
-77155.377013,5000,252.234365
-13383.705814,5000,273.088688
-17902.74107,5000,295.820388
-40472.066407,5000,316.897481
-17302.353967,5000,338.777312
-57986.183931,5000,358.885823
-41672.253063,5000,378.147709
-24982.927515,5000,399.77693
-14666.363129,5000,420.676541
-9872.27085,5000,434.215873
-73204.66829,5000,445.143299
-11788.158659,5000,457.028239
-30832.290906,5000,467.013803
-51582.051504,5000,479.15567
-48695.24499,5000,491.022207
-89351.687486,5000,502.736435
-44219.936696,5000,514.611588
-20422.719692,5000,526.368563
-18097.0816,5000,538.634167
