#{"t_start": 1710696857.1754246, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-46817.467235,5000,20.359471
-10560.85464,5000,41.650673
-7348.413128,5000,64.715462
-15367.586871,5000,85.7786
-22663.222146,5000,109.186407
-71100.197096,5000,130.529689
-8349.372395,5000,152.9709
-15279.266164,5000,173.279608
-69451.073825,5000,192.79489
-54505.167526,5000,215.092567
-73551.806663,5000,235.070516
-16249.226288,5000,257.462996
-17976.21198,5000,278.291573
-20135.562955,5000,300.937965
-28367.429995,5000,321.731987
-48107.039838,5000,344.135909
-46327.68222,5000,365.432515
-23519.12627,5000,385.643306
-63536.607524,5000,408.364843
-65617.279063,5000,428.352079
-19335.623959,5000,442.229381
-23516.415586,5000,453.885773
-33012.48341,5000,464.647786
-12519.923068,5000,475.34546
-48135.727681,5000,486.338929
-80209.540457,5000,497.89574
-7072.987952,5000,509.291321
-67883.872925,5000,520.851077
-77015.543565,5000,532.097586
-26628.109389,5000,543.196624
