#{"t_start": 1710691529.2024674, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-68535.976272,5000,21.306318
-60614.151426,5000,41.428229
-28444.619786,5000,63.837195
-17038.52121,5000,83.305793
-7735.167804,5000,105.45694
-47745.067195,5000,124.960534
-23806.6774,5000,146.578523
-32310.028407,5000,166.497043
-45110.389674,5000,186.176621
-7405.755275,5000,207.192865
-50590.036855,5000,228.241447
-26221.156664,5000,251.074504
-11206.755804,5000,270.407619
-17609.079404,5000,293.298742
-62998.493919,5000,315.127394
-50922.508751,5000,338.750221
-29823.377892,5000,358.237115
-19869.104576,5000,378.067247
-69530.743773,5000,401.042054
-18449.395801,5000,421.790908
-7306.91101,5000,435.615546
-31766.982614,5000,447.559758
-44103.146277,5000,459.342039
9999.655707,1,459.392411
-12753.254314,5000,470.539674
-46188.446153,5000,481.760209
-61894.136244,5000,494.021172
-48092.752724,5000,506.081998
-33597.807045,5000,518.402066
-2846.302748,5000,530.330551
