#{"t_start": 1710681873.7000973, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-20757.083918,5000,18.114917
-52589.723195,5000,34.565095
-32285.298995,5000,54.320637
-26235.840324,5000,74.423869
-34879.366454,5000,96.455296
-9395.259412,5000,116.245728
-64604.836659,5000,135.276397
-41542.737652,5000,152.211018
-22811.290976,5000,167.492764
-11804.512423,5000,186.701669
-44861.037916,5000,205.084704
-15539.951771,5000,223.148485
-21587.476131,5000,241.435833
-55910.11041,5000,262.975605
-62054.248302,5000,279.137426
-64243.693468,5000,297.191803
-29199.186351,5000,313.938409
-45513.854334,5000,331.906884
-69489.076661,5000,350.110129
-50827.512795,5000,366.646197
-23628.121844,5000,379.67781
-78664.703447,5000,392.082638
-2652.81761,5000,405.972118
-27178.701648,5000,417.56287
-41806.072873,5000,429.883849
-39118.972465,5000,441.198036
-67168.670876,5000,452.19687
-49683.440991,5000,463.887572
-73279.452333,5000,475.088264
-26866.140902,5000,487.489119
