#{"t_start": 1710692596.164994, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-83132.702383,5000,18.915377
-68537.645332,5000,36.439642
-16266.946144,5000,54.526225
-83969.06537,5000,72.107305
-25799.612568,5000,90.827271
-18644.259258,5000,108.604095
-61338.526996,5000,127.117225
-72846.020619,5000,147.053668
-108935.272424,5000,164.120836
-66234.628612,5000,182.994889
-22155.727412,5000,199.791346
-102834.64697,5000,217.955513
-47174.857468,5000,236.740031
-77628.754053,5000,255.679646
-59619.942711,5000,273.483145
-24492.630497,5000,292.400583
-84936.765328,5000,309.875268
-52176.150215,5000,329.402573
-43609.410952,5000,349.245392
-65242.30713,5000,369.562043
-70942.939935,5000,384.004687
-77559.86059,5000,395.875984
-58012.929169,5000,406.943724
-52745.987393,5000,418.283952
-95839.722932,5000,430.315297
-46870.78226,5000,442.425394
-48801.323303,5000,454.553368
-79747.662122,5000,465.448705
-59743.402035,5000,477.415401
-74136.583487,5000,489.815868
