#{"t_start": 1710695776.7786283, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-45617.155828,5000,19.104779
-31115.367279,5000,40.960705
-47156.488638,5000,65.53794
-42797.862777,5000,85.345168
-11744.885289,5000,105.815828
-37246.633312,5000,122.992454
-11760.755412,5000,141.507294
-20632.16291,5000,160.28365
-59983.348369,5000,179.120535
-8344.82394,5000,201.526823
-28324.968486,5000,221.886041
-13896.538714,5000,243.647743
-37256.925209,5000,265.587421
-24743.900763,5000,287.860454
-55142.145608,5000,309.944005
-18279.919753,5000,332.151796
-37557.405059,5000,349.028835
-47441.537529,5000,369.271817
-20187.429355,5000,391.620095
-36384.89864,5000,410.315503
-27960.191145,5000,425.045962
-59397.343452,5000,436.32368
-37049.224665,5000,447.931759
-41771.719649,5000,459.899719
-15392.236711,5000,471.2102
-57813.772213,5000,481.464734
-41518.146206,5000,493.263315
-16150.926956,5000,505.634343
-6209.335701,5000,517.129896
-48306.08679,5000,528.481913
