#{"t_start": 1710692059.7767677, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-83793.539409,5000,20.942331
-41414.456507,5000,39.839382
-68209.901741,5000,61.795474
-50975.343774,5000,81.855609
-22117.308551,5000,104.421973
-33223.250445,5000,123.38452
-65318.707806,5000,146.276062
-28395.478672,5000,166.042299
-36745.244743,5000,183.653522
-50591.134346,5000,204.204217
-80647.417471,5000,224.75296
-19487.813158,5000,246.02437
-13735.519144,5000,267.503451
-34536.90882,5000,291.835936
-65140.524558,5000,313.740351
-11210.334359,5000,337.483958
-20512.596683,5000,358.405728
-73546.892954,5000,378.866524
-54558.197489,5000,400.402127
-76339.68267,5000,416.603295
-48081.434686,5000,429.865818
-32647.126979,5000,440.762625
-22906.889695,5000,452.922625
-14819.395055,5000,464.294498
-31995.286833,5000,476.606266
-60153.111029,5000,488.646507
-45895.603399,5000,501.062191
-51133.057652,5000,513.092649
-9658.278693,5000,524.404422
-64564.092769,5000,536.159976
